HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2,Test1,Test2,Homework,Quiz,Lab,Overall,Grade
100,100,100,100,100,100,100,100,100,12,100,100,100,100,80,90,100,100,100,100,100,100,A+
85,95,100,95,95,95,100,100,100,12,91.66666666666667,88.88888888888889,90,95,57.6,74.7,72,83,97.5,92.22222222222223,100,88.23333333333333,A-
87.5,100,85,70,100,98,0,80,0,7,83.33333333333333,55.55555555555556,50,0,56.8,54.9,71,61,77.5625,62.96296296296296,20,64.16319444444446,C-
92.5,100,100,100,96.25,99,100,92.5,95,12,66.66666666666667,88.88888888888889,65,65,69.6,58.05,86.99999999999999,64.5,97.84375,73.51851851851852,100,83.90590277777778,B
32.5,0,65,60,0,46,0,0,0,5,41.666666666666664,50,0,0,40,16.2,50,18,25.4375,30.555555555555554,0,26.714583333333334,F
75,85,92.5,95,100,91,0,0,90,9,91.66666666666667,94.44444444444444,0,75,73.6,71.1,91.99999999999999,78.99999999999999,78.5625,87.03703703703702,60,80.77430555555554,B-
90,100,97.5,95,80,80,52,90,90,12,91.66666666666667,50,75,90,78.4,68.85,98.00000000000001,76.49999999999999,90.3125,85.55555555555556,100,88.65208333333334,A-
92.5,95,100,90,100,72,95,74.5,100,12,83.33333333333333,44.44444444444444,60,65,52,63.9,65,71,93.375,69.44444444444444,100,79.17916666666667,C+
82.5,85,92.5,70,100,0,84,90,95,12,91.66666666666667,100,70,95,80,73.8,100,82,87.375,95.55555555555556,100,91.04583333333333,A
75,95,95,95,95,96,0,100,98,12,58.333333333333336,55.55555555555556,65,80,63.2,70.65,79,78.50000000000001,93.625,67.77777777777779,100,83.67916666666666,B
0,77.5,0,15,0,70,80,80,57.5,11,66.66666666666667,27.77777777777778,35,15,21.6,50.4,27,56,47.5,43.14814814814815,100,50.12222222222222,D
95,100,100,100,100,90,100,100,70,12,100,100,80,100,77.6,87.3,96.99999999999999,97,98.125,100,100,98.0875,A+
82.5,0,82.5,80,100,0,0,0,70,12,75,38.888888888888886,45,60,42.4,41.4,53,46,51.875,60,100,56.6625,D
80,92.5,87.5,100,100,69,51.5,80,75,12,100,83.33333333333333,67.5,100,70.4,68.4,88.00000000000001,76.00000000000001,85.5,94.44444444444444,100,86.41666666666667,B+
87.5,100,100,100,85,90,100,100,80,12,66.66666666666667,72.22222222222223,60,75,68,70.2,85,78,95.3125,71.2962962962963,100,85.78819444444444,B
50,0,67.5,50,0,78,41.5,82.5,80,11,33.333333333333336,55.55555555555556,70,85,40,36.9,50,41,56.1875,70.18518518518518,100,57.634027777777774,D
47.5,70,77.5,30,85,55,78,92.5,80,11,66.66666666666667,16.666666666666668,0,30,47.2,20.7,59,23,73.1875,37.77777777777778,100,55.172916666666666,D
77.5,85,100,100,95,93,82,90,95,12,75,55.55555555555556,70,65,59.2,69.3,74,77,92.5,70,100,82.3,B
65,92.5,92.5,0,95,80,74,80,80,12,83.33333333333333,50,65,70,64,67.95,80,75.5,82.375,72.77777777777777,100,80.50416666666666,B-
52.5,75,85,90,86.25,99,70,100,0,8,66.66666666666667,77.77777777777777,25,50,61.6,62.1,77,69,82.21875,64.81481481481482,40,71.03784722222221,C
77.5,97.5,100,100,100,100,100,100,100,12,91.66666666666667,100,70,100,69.6,70.2,86.99999999999999,78,99.6875,97.22222222222223,100,91.38958333333333,A
95,77.5,95,100,100,87,100,90,100,12,100,94.44444444444444,70,95,64,77.4,80,86.00000000000001,95.875,96.48148148148148,100,90.73472222222222,A
70,67.5,75,70,95,77,79,0,63.5,11,91.66666666666667,61.111111111111114,0,80,54.4,45,68,50,74.625,77.5925925925926,100,70.1263888888889,C
77.5,70,87.5,90,80,81,87,90,85,11,66.66666666666667,0,0,70,35.2,31.5,44.00000000000001,35,84.75,45.555555555555564,100,59.80833333333334,D
72.5,72.5,85,80,90,93,100,100,100,12,91.66666666666667,88.88888888888889,70,95,64.8,81,81,90,90.0625,91.85185185185185,100,89.49652777777777,A-
80,80,85,60,92.5,71,48,64,95,12,33.333333333333336,22.22222222222222,40,25,39.2,42.75,49.00000000000001,47.5,78.4375,32.77777777777778,100,60.12291666666667,C-
97,100,100,100,100,98,100,0,96,12,75,38.888888888888886,0,100,67.2,77.4,84,86.00000000000001,98.875,71.29629629629629,100,88.65694444444443,A-
92.5,100,100,80,100,0,83,95,90,12,66.66666666666667,16.666666666666668,75,70,50.4,61.2,63,68,92.5625,70.55555555555556,100,77.95208333333333,C+
87.5,55,87.5,52.5,70,98,90,90,80,12,83.33333333333333,66.66666666666667,30,80,57.6,62.1,72,69,82.25,76.66666666666667,100,77.82499999999999,C+
92.5,92.5,85,90,95,87,73,100,80,12,83.33333333333333,72.22222222222223,85,90,72,67.5,90,75,90.25,86.1111111111111,100,86.74166666666667,B+
52.5,97.5,100,90,95,95,100,85,70,12,91.66666666666667,55.55555555555556,65,75,64.8,70.65,81,78.50000000000001,91.5625,77.22222222222223,100,84.87708333333333,B
86.5,94,95,100,95,90,77,60,98,10,66.66666666666667,61.111111111111114,65,85,63.2,64.35,79,71.49999999999999,91.9375,72.22222222222223,80,80.08958333333334,B-
88.5,85,100,100,100,99,100,100,94,12,100,88.88888888888889,90,100,79.2,67.05,99,74.5,97.6875,96.66666666666667,100,92.23125,A
95,98,100,80,100,90,52,70,100,12,83.33333333333333,44.44444444444444,75,80,62.4,48.15,78,53.5,91.625,79.44444444444444,100,78.37916666666666,C+
85,77.5,92.5,55,65,64,26,62.5,85,12,33.333333333333336,50,30,60,29.6,24.75,37,27.5,73.3125,47.77777777777778,100,53.43541666666666,D
87.5,100,100,70,95,100,78,90,80,12,66.66666666666667,44.44444444444444,40,90,62.4,35.1,78,39,91.3125,67.03703703703704,100,72.79930555555555,C
76,72.5,50,0,61.25,71,51,50,80,12,58.333333333333336,55.55555555555556,50,20,44.8,63.45,56,70.5,63.96875,54.629629629629626,100,66.21006944444444,C-
81,97.5,100,75,95,87,82,90,95,12,100,100,75,55,67.2,75.6,84,83.99999999999999,90.9375,91.66666666666667,100,88.83125,A-
92.5,100,92.5,90,100,95,85,90,80,12,87.5,66.66666666666667,65,100,66.4,63,83.00000000000001,70,93.125,84.72222222222223,100,84.74583333333334,B
87.5,100,92.5,90,95,91,90,95,100,11,83.33333333333333,66.66666666666667,82.5,85,72,81,90,90,94.1875,83.6111111111111,100,91.29791666666665,A
93.5,95,97.5,100,100,76,95,90,80,12,100,77.77777777777777,75,65,76.8,75.15,96,83.50000000000001,93.875,84.25925925925925,100,90.87638888888888,A
75,82.5,100,100,90,88,84,87.5,100,12,91.66666666666667,88.88888888888889,70,90,76.8,76.5,96,85,91.5,90.18518518518518,100,91.42777777777778,A
87.5,62.5,80,70,100,96,92,100,70,12,58.333333333333336,66.66666666666667,60,75,58.4,54.9,73,61,86.9375,67.22222222222223,100,76.01458333333333,C
90,90,72.5,90,100,97,100,95,100,12,83.33333333333333,61.111111111111114,65,65,55.2,41.4,69,46,95.25,71.1111111111111,100,74.54166666666667,C
70,90,90,80,69.5,54,82,0,100,9,50,38.888888888888886,40,40,37.6,43.2,47,48,79.4375,43.333333333333336,60,57.731249999999996,D
95,85,90,50,56,86,92,75,55,12,87.5,77.77777777777777,45,75,42.4,27,53,30,79.25,80.0925925925926,100,63.88888888888889,C-
82.5,100,97.5,90,91.25,99,97,100,100,12,91.66666666666667,88.88888888888889,90,100,67.2,73.8,84,82,96.84375,93.8888888888889,100,90.43645833333333,A
95,100,100,90,95,99,97,80,100,12,100,94.44444444444444,90,95,70.4,83.25,88.00000000000001,92.5,97,96.48148148148148,100,94.29722222222222,A
100,100,97.5,100,100,95,100,100,60,12,95.83333333333333,61.111111111111114,75,70,55.2,69.3,69,77,99.0625,80.27777777777777,100,84.81041666666667,B
67.5,100,100,90,95,90,100,90,100,12,100,77.77777777777777,70,100,71.2,83.7,89,93,95.625,92.5925925925926,100,93.62638888888888,A
